Model,SNR,RMSE,LSD
Baseline,11.401473,0.22489908,3.7321057319641113
Spectral,9.914195,0.26690185,4.142011642456055
Ensemble,12.182216,0.20556566,3.5889856815338135
Baseline,16.643583,0.13191058,1.5503652095794678
Spectral,22.747028,0.06532921,4.450927257537842
Ensemble,18.697132,0.104136296,3.6270320415496826
Baseline,18.2921,0.0981055,3.5295050144195557
Spectral,17.811516,0.1036866,3.084779739379883
Ensemble,19.765636,0.08279737,3.472634792327881
Baseline,6.9113584,0.17958444,1.3234678506851196
Spectral,7.295705,0.17181118,2.9459118843078613
Ensemble,8.047497,0.15756573,1.5180089473724365
Baseline,17.924065,0.109126665,2.4363839626312256
Spectral,11.988133,0.21613619,3.870877265930176
Ensemble,18.234089,0.10530032,3.469121217727661
Baseline,14.724386,0.14773232,2.6651759147644043
Spectral,13.267335,0.17471416,3.713087320327759
Ensemble,15.884588,0.12926039,2.902491331100464
Baseline,8.388217,0.2327172,3.5396692752838135
Spectral,10.974619,0.17278594,2.849440097808838
Ensemble,9.553892,0.2034908,3.406773328781128
Baseline,12.236422,0.20983155,3.4782426357269287
Spectral,15.011021,0.15245469,3.9362540245056152
Ensemble,13.860579,0.17404556,3.333862066268921
